year,district,age_range,entries,population,percentage
2023,1- Usaquen,65-69,2007,27924,7.1873657069187795
2023,2- Chapinero,65-69,56,7795,"0.71840923669018601668"
2023,3- Santa Fe,65-69,1278,3637,35.1388507011273027
2023,4- San Cristobal,65-69,4455,14211,31.3489550348321723
2023,5- Usme,65-69,5840,13059,44.7201163948234934
2023,6- Tunjuelito,65-69,2374,6714,35.3589514447423295
2023,7- Bosa,65-69,5915,20264,29.1896960126332412
2023,8- Kennedy,65-69,5558,37708,14.7395778084226159
2023,9- Fontibon,65-69,1879,16200,11.5987654320987654
2023,10- Engativa,65-69,4942,34421,14.3575143081258534
2023,11- Suba,65-69,6302,51991,12.1213286915042988
2023,12- Barrios Unidos,65-69,159,6904,2.3030127462340672
2023,13- Teusaquillo,65-69,41,8403,"0.48792098060216589313"
2023,14- Los Martires,65-69,375,2845,13.1810193321616872
2023,15- Antonio Narino,65-69,464,3590,12.9247910863509749
2023,16- Puente Aranda,65-69,429,11071,3.8749887092403577
2023,17- La Candelaria,65-69,265,804,32.9601990049751244
2023,18- Rafael Uribe,65-69,3398,14446,23.5220822372975218
2023,19- Ciudad Bolivar,65-69,7520,20127,37.3627465593481393
2023,20- Sumapaz,65-69,101,110,91.8181818181818182
2023,99- Unknown,65-69,1,59066,"0.00169302136592963803"
2023,1- Usaquen,70-59,1755,21766,"8.0630340898649270"
2023,2- Chapinero,70-59,48,5404,"0.88823094004441154700"
2023,3- Santa Fe,70-59,1094,2594,"42.1742482652274480"
2023,4- San Cristobal,70-59,3651,9812,37.2095393395841826
2023,5- Usme,70-59,4276,8488,50.3770028275212064
2023,6- Tunjuelito,70-59,1776,4616,38.4748700173310225
2023,7- Bosa,70-59,4658,14075,33.0941385435168739
2023,8- Kennedy,70-59,4251,26761,15.8850566122342214
2023,9- Fontibon,70-59,1401,11337,"12.3577666049219370"
2023,10- Engativa,70-59,3694,24559,15.0413290443421963
2023,11- Suba,70-59,5071,37161,13.6460267484728613
2023,12- Barrios Unidos,70-59,105,5213,2.0141952810281987
2023,13- Teusaquillo,70-59,33,6146,"0.53693459160429547673"
2023,14- Los Martires,70-59,306,2019,15.1560178306092125
2023,15- Antonio Narino,70-59,390,2545,15.3241650294695481
2023,16- Puente Aranda,70-59,371,7920,4.6843434343434343
2023,17- La Candelaria,70-59,227,525,43.2380952380952381
2023,18- Rafael Uribe,70-59,2721,10181,26.7262547883312052
2023,19- Ciudad Bolivar,70-59,5619,13527,41.5391439343535152
2023,20- Sumapaz,70-59,68,90,75.5555555555555556
2023,1- Usaquen,75-79,1206,15368,7.8474752732951588
2023,2- Chapinero,75-79,37,3859,"0.95879761596268463332"
2023,3- Santa Fe,75-79,769,1693,45.4223272297696397
2023,4- San Cristobal,75-79,2636,6716,39.2495533055390113
2023,5- Usme,75-79,2859,5158,55.4284606436603335
2023,6- Tunjuelito,75-79,1222,3036,40.2503293807641634
2023,7- Bosa,75-79,3033,8805,34.4463373083475298
2023,8- Kennedy,75-79,2878,17535,16.4128885086968919
2023,9- Fontibon,75-79,1046,7551,13.8524698715401934
2023,10- Engativa,75-79,2727,17006,16.0355168763965659
2023,11- Suba,75-79,3322,24847,13.3698233187105083
2023,12- Barrios Unidos,75-79,60,3494,1.7172295363480252
2023,13- Teusaquillo,75-79,15,4113,"0.36469730123997082422"
2023,14- Los Martires,75-79,191,1318,14.4916540212443096
2023,15- Antonio Narino,75-79,270,1698,15.9010600706713781
2023,16- Puente Aranda,75-79,327,5720,5.7167832167832168
2023,17- La Candelaria,75-79,147,374,39.3048128342245989
2023,18- Rafael Uribe,75-79,1898,6558,28.9417505336992986
2023,19- Ciudad Bolivar,75-79,4035,8379,48.1561045470819907
2023,20- Sumapaz,75-79,47,80,"58.7500000000000000"
2023,1- Usaquen,80-59,815,9506,8.5735325057858195
2023,2- Chapinero,80-59,26,2242,"1.1596788581623550"
2023,3- Santa Fe,80-59,555,984,56.4024390243902439
2023,4- San Cristobal,80-59,1815,4006,45.3070394408387419
2023,5- Usme,80-59,1805,2859,63.1339629240993354
2023,6- Tunjuelito,80-59,875,1893,46.2229265715795034
2023,7- Bosa,80-59,2006,4806,41.7394923012900541
2023,8- Kennedy,80-59,1853,9954,18.6156319067711473
2023,9- Fontibon,80-59,752,4705,15.9829968119022317
2023,10- Engativa,80-59,1894,10897,17.3809305313389006
2023,11- Suba,80-59,2148,14740,14.5725915875169607
2023,12- Barrios Unidos,80-59,64,2350,2.7234042553191489
2023,13- Teusaquillo,80-59,24,2684,"0.89418777943368107303"
2023,14- Los Martires,80-59,104,727,14.3053645116918845
2023,15- Antonio Narino,80-59,219,1065,20.5633802816901408
2023,16- Puente Aranda,80-59,240,3955,"6.0682680151706700"
2023,17- La Candelaria,80-59,107,233,45.9227467811158798
2023,18- Rafael Uribe,80-59,1323,3957,33.4344200151630023
2023,19- Ciudad Bolivar,80-59,2570,4754,54.0597391670172486
2023,20- Sumapaz,80-59,46,57,80.7017543859649123
2023,1- Usaquen,85-89,460,5386,8.5406609728926847
2023,2- Chapinero,85-89,8,834,"0.95923261390887290168"
2023,3- Santa Fe,85-89,326,549,59.3806921675774135
2023,4- San Cristobal,85-89,926,1988,"46.5794768611670020"
2023,5- Usme,85-89,918,1243,73.8535800482703138
2023,6- Tunjuelito,85-89,494,1125,43.9111111111111111
2023,7- Bosa,85-89,1111,2250,49.3777777777777778
2023,8- Kennedy,85-89,1001,5411,"18.4993531694695990"
2023,9- Fontibon,85-89,528,2433,21.7016029593094945
2023,10- Engativa,85-89,1112,6349,17.5145692234997637
2023,11- Suba,85-89,1189,8047,14.7756928047719647
2023,12- Barrios Unidos,85-89,28,1088,2.5735294117647059
2023,13- Teusaquillo,85-89,10,1609,"0.62150403977625854568"
2023,14- Los Martires,85-89,65,408,15.9313725490196078
2023,15- Antonio Narino,85-89,131,583,22.4699828473413379
2023,16- Puente Aranda,85-89,126,2466,5.1094890510948905
2023,17- La Candelaria,85-89,60,164,36.5853658536585366
2023,18- Rafael Uribe,85-89,659,2125,31.0117647058823529
2023,19- Ciudad Bolivar,85-89,1157,2197,52.6627218934911243
2023,20- Sumapaz,85-89,14,25,"56.0000000000000000"
2023,1- Usaquen,90-59,182,2908,6.2585969738651994
2023,2- Chapinero,90-59,5,489,1.0224948875255624
2023,3- Santa Fe,90-59,110,272,40.4411764705882353
2023,4- San Cristobal,90-59,367,839,43.7425506555423123
2023,5- Usme,90-59,290,470,61.7021276595744681
2023,6- Tunjuelito,90-59,272,576,47.2222222222222222
2023,7- Bosa,90-59,423,920,45.9782608695652174
2023,8- Kennedy,90-59,442,2653,16.6603844704108556
2023,9- Fontibon,90-59,170,1079,15.7553290083410565
2023,10- Engativa,90-59,447,2912,15.3502747252747253
2023,11- Suba,90-59,502,4108,12.2200584225900682
2023,12- Barrios Unidos,90-59,20,724,2.7624309392265193
2023,13- Teusaquillo,90-59,8,707,1.1315417256011315
2023,14- Los Martires,90-59,22,192,11.4583333333333333
2023,15- Antonio Narino,90-59,58,275,21.0909090909090909
2023,16- Puente Aranda,90-59,75,1207,6.2137531068765534
2023,17- La Candelaria,90-59,31,77,40.2597402597402597
2023,18- Rafael Uribe,90-59,243,994,24.4466800804828974
2023,19- Ciudad Bolivar,90-59,453,945,47.9365079365079365
2023,20- Sumapaz,90-59,12,14,85.7142857142857143
2023,1- Usaquen,95-99,52,1359,3.8263428991905813
2023,2- Chapinero,95-99,2,124,1.6129032258064516
2023,3- Santa Fe,95-99,20,105,19.0476190476190476
2023,4- San Cristobal,95-99,94,336,27.9761904761904762
2023,5- Usme,95-99,72,145,49.6551724137931034
2023,6- Tunjuelito,95-99,54,218,24.7706422018348624
2023,7- Bosa,95-99,106,287,36.9337979094076655
2023,8- Kennedy,95-99,86,1088,7.9044117647058824
2023,9- Fontibon,95-99,54,463,11.6630669546436285
2023,10- Engativa,95-99,91,1087,8.3716651333946642
2023,11- Suba,95-99,135,1867,7.2308516336368506
2023,12- Barrios Unidos,95-99,4,132,3.0303030303030303
2023,13- Teusaquillo,95-99,6,216,2.7777777777777778
2023,14- Los Martires,95-99,8,43,18.6046511627906977
2023,15- Antonio Narino,95-99,14,91,15.3846153846153846
2023,16- Puente Aranda,95-99,22,385,5.7142857142857143
2023,17- La Candelaria,95-99,8,48,16.6666666666666667
2023,18- Rafael Uribe,95-99,85,352,24.1477272727272727
2023,19- Ciudad Bolivar,95-99,91,318,28.6163522012578616
2023,20- Sumapaz,95-99,1,3,33.3333333333333333
2023,1- Usaquen,,4,641,"0.62402496099843993760"
2023,4- San Cristobal,,1,117,"0.85470085470085470085"
2023,5- Usme,,3,42,7.1428571428571429
2023,6- Tunjuelito,,9,66,13.6363636363636364
2023,7- Bosa,,9,108,8.3333333333333333
2023,8- Kennedy,,13,545,2.3853211009174312
2023,9- Fontibon,,2,198,1.0101010101010101
2023,10- Engativa,,5,361,1.3850415512465374
2023,11- Suba,,5,738,"0.67750677506775067751"
2023,12- Barrios Unidos,,3,116,2.5862068965517241
2023,14- Los Martires,,1,20,"5.0000000000000000"
2023,17- La Candelaria,,1,38,2.6315789473684211
2023,18- Rafael Uribe,,3,109,2.7522935779816514
2023,19- Ciudad Bolivar,,4,116,3.4482758620689655
